Name,Street address,City,State,Zip code,Building type,Utility name
Park 355 (ca899301),2145 Internationale Pky,Woodridge,IL,60517,"Industrial, Warehouse",Commonwealth Edison Co
O'Hare Logistics Center IV Bldg 2 (ca914202),222 E Devon Ave,Elk Grove Village,IL,60007,"Industrial, Warehouse",Commonwealth Edison Co
EXR 7240 Zion (cb940301),3355 Sheridan Rd,Zion,IL,60099,"Retail, Strip Mall",Commonwealth Edison Co
Glen Pointe V (cb446603),141-171 Internationale Blvd,Glendale Heights,IL,60139,"Industrial, Warehouse",Commonwealth Edison Co
EXR 7239 Cicero (cb940302),1301 S Cicero Ave,Cicero,IL,60804,"Industrial, Warehouse",Commonwealth Edison Co
Maple Point 1 (ct896401),10335 Argonne Woods Dr,Woodridge,IL,60517,"Industrial, Warehouse",Commonwealth Edison Co
Bridge Point 2 (ca900402),1020 Davey Rd,Woodridge,IL,60517,"Industrial, Warehouse",Commonwealth Edison Co
Monee Development (cb943901),25100 S Ridgeland Ave,Monee,IL,60449,"Industrial, Warehouse",Commonwealth Edison Co
The Oaks of Vernon Hills (rta19f01),103 Oak Leaf Ln,Vernon Hills,IL,60061,Multi-Family,Commonwealth Edison Co
Bridge Point 1 (ca900401),1000 Davey Rd,Woodridge,IL,60517,"Industrial, Warehouse",Commonwealth Edison Co
Edward-Elmhurst Health Center (ct938901),6701 Us-34,Oswego,IL,60543,Outpatient,Commonwealth Edison Co
Advocate Good Samaritan Outpatient Center,6840 Main St,Downers Grove,IL,60516,Outpatient,Commonwealth Edison Co
Aurora Distribution Center 1 (ct896101),1203 Bilter Rd,Aurora,IL,60502,"Industrial, Warehouse",Commonwealth Edison Co
803 Corday at Naperville (rb843701),803 Corday Dr,Naperville,IL,60540,Multi-Family,Commonwealth Edison Co
Aurora Distribution Center 2 (ct896102),1207 Bilter Rd,Aurora,IL,60502,"Industrial, Warehouse",Commonwealth Edison Co
Advocate Chicago 103rd (ct938903),1357 W 103rd St,Chicago,IL,60643,Outpatient,Commonwealth Edison Co
Village Crossing Niles,5605-5699 W Touhy Ave,Niles,IL,60714,"Retail, Standalone",Commonwealth Edison Co
Bedford Park II (ct896301),5445 W 73rd St,Bedford Park,IL,60638,"Industrial, Warehouse",Commonwealth Edison Co
Randall Crossing Distribution Center (ct912901),2755 Alft Ln,Elgin,IL,60124,"Industrial, Warehouse",Commonwealth Edison Co
Bedford Park IB (ca900501),5151 W 73rd St,Bedford Park,IL,60638,"Industrial, Warehouse",Commonwealth Edison Co
Bedford Park IA (ca900502),5139 W 73rd St,Bedford Park,IL,60638,"Industrial, Warehouse",Commonwealth Edison Co
Maple Point 2 (ct896402),10330 Argonne Woods Dr,Woodridge,IL,60517,"Industrial, Warehouse",Commonwealth Edison Co
Park 88 (ca899101),2580 Diehl Rd,Aurora,IL,60502,"Industrial, Warehouse",Commonwealth Edison Co
The Gallery At State Street,26-34 S State St,Chicago,IL,60603,"Retail, Strip Mall",Commonwealth Edison Co
Park 55 (ca899201),575 W Crossroads Pky,Bolingbrook,IL,60440,"Industrial, Warehouse",Commonwealth Edison Co
Aurora Distribution Center III (ca900801),2380 Diehl Rd,Aurora,IL,60502,"Industrial, Warehouse",Commonwealth Edison Co
Linden Oaks Medical Office Building (cs923801),1335 N Mill St,Naperville,IL,60563,Outpatient,Commonwealth Edison Co
,3355 Sheridan Rd,Zion,IL,60099,"Retail, Strip Mall",Commonwealth Edison Co
Extra Space Storage,1301 S Cicero Ave,Cicero,IL,60804,"Industrial, Warehouse",Commonwealth Edison Co
Donnelley Distribution Center (cb568110),1000 Windham Pky,Romeoville,IL,60446,"Industrial, Warehouse",Commonwealth Edison Co
Building I,1203 Bilter Rd,Aurora,IL,60502,"Industrial, Warehouse",Commonwealth Edison Co
Randall Crossing Distribution Center,2755 Alft Ln,Elgin,IL,60124,"Industrial, Warehouse",Commonwealth Edison Co
Building II,1207 Bilter Rd,Aurora,IL,60502,"Industrial, Warehouse",Commonwealth Edison Co
Maple Point 2,10330 Argonne Woods Dr,Woodridge,IL,60517,"Industrial, Warehouse",Commonwealth Edison Co
"Kiljordan Meadows
Kiljordan Meadows",1601 E Jackson St,Macomb,IL,61455,Multi-Family,Ameren Illinois
Carvana Chicago,720 Enterprise Dr,Oak Brook,IL,60523,"Retail, Strip Mall",Commonwealth Edison Co
CarMax Oak Lawn,6540 W 95th St,Oak Lawn,IL,60453,"Retail, Strip Mall",Commonwealth Edison Co
,29 N Broadway St,Joliet,IL,60435,Outpatient,Commonwealth Edison Co
,8975 W Golf Rd,Niles,IL,60714,Multi-Family,Commonwealth Edison Co
Bedford Park II,5445 W 73rd St,Bedford Park,IL,60638,"Industrial, Warehouse",Commonwealth Edison Co
,101 E Crossroads Pky,Bolingbrook,IL,60440,"Industrial, Warehouse",Commonwealth Edison Co
,2525 E Rand Rd,Arlington Heights,IL,60004,—,Commonwealth Edison Co
Mill Street (ra946402),703 S Rawlings St,Carbondale,IL,62901,Multi-Family,Ameren Illinois
Carbondale Towers (ra946401),810 W Mill St,Carbondale,IL,62901,Multi-Family,Ameren Illinois
Riverstone (ra941101),308 Woodcreek Dr,Bolingbrook,IL,60440,Multi-Family,Commonwealth Edison Co
,1200 Saunders Rd,Riverwoods,IL,60015,—,Commonwealth Edison Co
,350 E Golf Rd,Schaumburg,IL,60173,"Retail, Strip Mall",Commonwealth Edison Co
919 North Michigan Avenue (caa1c701),919 N Michigan Ave,Chicago,IL,60611,Office,Commonwealth Edison Co
Keurig Dr Pepper,400 N Wolf Rd,Northlake,IL,60164,"Industrial, Warehouse",Commonwealth Edison Co
Maple Point 1,10335 Argonne Woods Dr,Woodridge,IL,60517,"Industrial, Warehouse",Commonwealth Edison Co
